name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,name_2
Dhofar 604,7361,Valid,H5/6,300.00000,Found,01/01/2001 12:00:00 AM,18.78880,54.41863,"(18.7888, 54.41863)",Oman
Dhofar 605,7362,Valid,H5/6,469.00000,Found,01/01/2001 12:00:00 AM,18.71768,54.19992,"(18.71768, 54.19992)",Oman
Dhofar 606,7363,Valid,H3-5,259.00000,Found,01/01/2001 12:00:00 AM,18.72545,54.18723,"(18.72545, 54.18723)",Oman
Dhofar 607,7364,Valid,H5,5000.00000,Found,01/01/2001 12:00:00 AM,18.72880,54.19053,"(18.7288, 54.19053)",Oman
Dhofar 608,7365,Valid,H5/6,95.00000,Found,01/01/2001 12:00:00 AM,18.73567,54.19213,"(18.73567, 54.19213)",Oman
Dhofar 609,7366,Valid,H4,97.00000,Found,01/01/2001 12:00:00 AM,18.73730,54.19537,"(18.7373, 54.19537)",Oman
Dhofar 610,7367,Valid,H5,176.00000,Found,01/01/2001 12:00:00 AM,18.74047,54.19965,"(18.74047, 54.19965)",Oman
Dhofar 611,7368,Valid,H4,99.00000,Found,01/01/2001 12:00:00 AM,19.13892,54.88143,"(19.13892, 54.88143)",Oman
Dhofar 612,7369,Valid,L5,559.00000,Found,01/01/2001 12:00:00 AM,19.14465,54.88252,"(19.14465, 54.88252)",Oman
Dhofar 613,7370,Valid,H5,482.00000,Found,01/01/2001 12:00:00 AM,19.15362,54.71268,"(19.15362, 54.71268)",Oman
Dhofar 614,7371,Valid,L6,197.00000,Found,01/01/2001 12:00:00 AM,19.25775,54.78192,"(19.25775, 54.78192)",Oman
Dhofar 615,7372,Valid,L3,966.00000,Found,01/01/2001 12:00:00 AM,19.17863,54.89285,"(19.17863, 54.89285)",Oman
Dhofar 616,7373,Valid,H5/6,68.00000,Found,01/01/2001 12:00:00 AM,19.24068,54.89285,"(19.24068, 54.89285)",Oman
Dhofar 617,7374,Valid,H6,7395.00000,Found,01/01/2001 12:00:00 AM,19.16100,54.70645,"(19.161, 54.70645)",Oman
Dhofar 618,7375,Valid,H5/6,51.00000,Found,01/01/2001 12:00:00 AM,19.20182,54.78373,"(19.20182, 54.78373)",Oman
Dhofar 619,7376,Valid,H5/6,140.00000,Found,01/01/2001 12:00:00 AM,19.14145,54.65930,"(19.14145, 54.6593)",Oman
